#timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,rot_x,rot_y,rot_z,rot_r
1.437557577236999989e+09,-2.238912599999999919e+00,-1.791792400000000063e+00,6.218175999999999704e-01,-3.677408699999999975e-01,-7.330383000000000211e-03,-4.166100999999999832e-01,1.651704200000000122e-01,-2.417077099999999923e-01,-8.551574299999999962e-01,4.277872699999999972e-01
1.437557577246999979e+09,-1.963830699999999929e+00,-2.527387399999999840e+00,-6.267104000000000008e-01,-4.703662399999999910e-01,2.235766799999999999e-01,9.883799599999999463e-01,1.642865699999999929e-01,-2.388652599999999959e-01,-8.551992000000000482e-01,4.296365699999999954e-01
1.437557577256999969e+09,-1.592595999999999901e+00,-9.994973999999999803e-01,-1.516089400000000031e+00,-5.400048499999999807e-01,3.897320300000000071e-01,1.207069799999999971e+00,1.637523999999999924e-01,-2.364024399999999915e-01,-8.531288500000000496e-01,4.352818999999999994e-01
1.437557577266999960e+09,-7.068993999999999556e-01,4.899330000000000074e-01,-2.366043599999999802e+00,-7.293730999999999964e-01,6.035348999999999853e-01,1.232726100000000047e+00,1.637580700000000056e-01,-2.335565400000000069e-01,-8.503252000000000033e-01,4.422460500000000017e-01
1.437557577276999950e+09,-1.272101399999999993e-01,1.365689300000000106e+00,-2.988612700000000011e+00,-9.993754999999999722e-01,4.276056599999999985e-01,7.916813499999999504e-01,1.640967600000000082e-01,-2.327580499999999941e-01,-8.490888500000000061e-01,4.449090399999999779e-01
1.437557577286999941e+09,2.611142699999999817e-01,1.386880899999999972e+00,-2.806303000000000214e+00,-1.282817000000000096e+00,6.230825599999999936e-02,2.455678299999999870e-01,1.627992000000000050e-01,-2.289427800000000124e-01,-8.482532999999999879e-01,4.489411700000000005e-01
1.437557577296999931e+09,4.600024199999999674e-02,1.366262899999999947e+00,-1.848786800000000063e+00,-1.424537799999999965e+00,-7.269296600000000330e-01,-2.284635999999999889e-01,1.593905200000000077e-01,-2.243496600000000063e-01,-8.493768999999999902e-01,4.503562700000000030e-01
1.437557577306999922e+09,-4.469197400000000098e-01,8.956880600000000081e-01,-1.022992099999999960e+00,-1.393994500000000025e+00,-1.386664200000000013e+00,-5.717699000000000531e-01,1.525444699999999876e-01,-2.203908300000000098e-01,-8.526327999999999685e-01,4.485258999999999774e-01
1.437557577316999912e+09,-7.359516600000000075e-01,7.028293599999999586e-01,-8.054447000000000689e-02,-1.213178400000000101e+00,-1.600467000000000084e+00,-7.672466999999999482e-01,1.437204300000000101e-01,-2.173426599999999931e-01,-8.568867000000000012e-01,4.448055300000000045e-01
1.437557577328999996e+09,-1.336785300000000065e+00,4.185671799999999831e-01,5.981006599999999507e-01,-9.395107600000000003e-01,-1.574810599999999949e+00,-8.002335000000000420e-01,1.350901700000000094e-01,-2.150472999999999968e-01,-8.615285000000000304e-01,4.396294399999999825e-01
1.437557577336999893e+09,-1.769512299999999927e+00,2.290268000000000026e-01,5.865001699999999873e-01,-7.880161399999999761e-01,-1.453859299999999966e+00,-7.745771399999999973e-01,1.277206100000000122e-01,-2.135196900000000120e-01,-8.656179999999999986e-01,4.345139299999999927e-01
1.437557577346999884e+09,-3.721195499999999878e+00,1.233179100000000084e+00,8.486404400000000514e-01,-5.900957999999999481e-01,-1.132544199999999890e+00,-5.705481000000000025e-01,1.267301100000000069e-01,-2.126220199999999949e-01,-8.676363999999999743e-01,4.312057200000000146e-01
1.437557577357000113e+09,-2.849290799999999901e+00,2.252446700000000135e+00,1.061866800000000000e+00,-7.452556000000000180e-01,-5.155703000000000369e-01,-9.896017000000000008e-02,1.234287839999999997e-01,-2.119091200000000064e-01,-8.699732399999999810e-01,4.277925499999999936e-01
1.437557577367000103e+09,-9.114669600000000482e-01,1.145331899999999958e+00,5.530805600000000544e-01,-1.020144900000000021e+00,-2.003638000000000086e-01,-6.108652400000000315e-02,1.202963140000000014e-01,-2.091125199999999962e-01,-8.714469999999999716e-01,4.270607499999999890e-01
